Input Size: 64
Sequential:
real	0m0.639s
real	0m0.590s
real	0m1.571s
real	0m0.611s
real	0m0.651s
real	0m0.613s
OpenMP Tiled:
real	0m0.172s
real	0m0.174s
real	0m0.219s
real	0m0.202s
real	0m0.187s
real	0m0.172s
real	0m0.196s
real	0m0.199s
real	0m0.178s
real	0m0.119s
MPI Tiled:
real	0m1.199s
real	0m1.043s
real	0m1.077s
real	0m1.220s
real	0m1.198s
real	0m1.115s
real	0m1.085s
real	0m1.192s
real	0m1.127s
real	0m1.216s
---------------------------------------
Input Size: 4096
Sequential:
real	0m0.618s
real	0m0.547s
real	0m0.547s
real	0m0.599s
real	0m0.540s
real	0m0.522s
real	0m0.471s
real	0m0.631s
real	0m0.560s
real	0m0.565s
OpenMP Naive:
real	0m0.577s
real	0m0.544s
real	0m0.493s
real	0m0.551s
real	0m0.558s
real	0m0.555s
real	0m0.629s
real	0m0.665s
real	0m0.590s
real	0m0.546s
MPI Naive:
real	0m0.537s
real	0m0.601s
real	0m0.534s
real	0m0.635s
real	0m0.571s
real	0m0.574s
real	0m0.803s
real	0m0.760s
real	0m0.731s
real	0m0.581s
OpenMP Tiled:
real	0m0.562s
real	0m0.618s
real	0m0.579s
real	0m0.665s
real	0m0.516s
real	0m0.687s
real	0m0.480s
real	0m0.474s
real	0m0.577s
real	0m0.589s
MPI Tiled:
real	0m2.717s
real	0m2.382s
real	0m2.793s
real	0m2.400s
real	0m2.282s
real	0m2.460s
real	0m2.414s
real	0m2.381s
real	0m2.512s
real	0m2.641s
---------------------------------------
Input Size: 8192
Sequential:
real	0m2.348s
real	0m2.239s
real	0m1.956s
real	0m2.205s
real	0m2.164s
real	0m2.088s
real	0m2.235s
real	0m1.979s
real	0m2.136s
real	0m2.036s
OpenMP Naive:
real	0m2.093s
real	0m2.079s
real	0m1.943s
real	0m1.976s
real	0m1.968s
real	0m2.079s
real	0m1.987s
real	0m1.979s
real	0m1.898s
real	0m1.924s
MPI Naive:
real	0m0.692s
real	0m0.627s
real	0m0.611s
real	0m0.692s
real	0m0.636s
real	0m0.516s
real	0m0.651s
real	0m0.596s
real	0m0.565s
real	0m0.559s
OpenMP Tiled:
real	0m2.158s
real	0m1.956s
real	0m1.976s
real	0m1.960s
real	0m2.023s
real	0m2.099s
real	0m1.944s
real	0m1.984s
real	0m1.962s
real	0m2.032s
MPI Tiled:
real	0m15.097s
real	0m8.244s
real	0m8.058s
real	0m8.285s
real	0m8.702s
real	0m8.548s
real	0m8.739s
real	0m8.502s
real	0m9.084s
real	0m9.408s
---------------------------------------
Input Size: 16384
Sequential:
real	0m10.184s
real	0m10.047s
real	0m10.308s
real	0m10.511s
real	0m9.852s
real	0m8.535s
real	0m13.338s
real	0m12.252s
real	0m11.619s
real	0m9.431s
OpenMP Naive:
real	0m9.960s
real	0m9.997s
real	0m9.834s
real	0m9.891s
real	0m9.947s
real	0m10.747s
real	0m10.359s
real	0m11.359s
real	0m11.472s
real	0m11.196s
MPI Naive:
real	0m0.821s
real	0m1.793s
real	0m0.788s
real	0m1.796s
real	0m0.924s
real	0m0.825s
real	0m1.707s
real	0m0.788s
real	0m0.765s
real	0m0.736s
OpenMP Tiled:
real	0m11.755s
real	0m11.876s
real	0m11.920s
real	0m11.753s
real	0m11.988s
real	0m12.523s
real	0m13.113s
real	0m12.988s
real	0m13.456s
real	0m13.864s
MPI Tiled:
real	0m45.603s
real	0m39.920s
real	0m36.524s
real	0m46.052s
real	0m36.092s
real	0m41.092s
real	0m48.803s
real	1m7.172s
real	1m32.784s
real	7m50.518s
---------------------------------------
